Cultivar,22' Early season Days to heading (days),22' late season Days to heading (days),23' early season Days to heading (days),23' normal season Days to heading (days),23' late season Days to heading (days),Culm Length (cm),Panicle Length (cm),Panicle Number,Spikelets per Panicle,Ripening Rate (%),"1,000-Grain Weight of Brown Rice (g)",Pre-harvest Sprouting (%),Bacterial Leaf Blight (The number of resistant strains),K1,K2,K3,K3a,cross information
Baegilmi,56,38,55,52,41,75,21,12,80,90.4,20.6,17.6,0,false,false,false,false,Koshihikarimutant(EMS)
Jopyeong,62,45,63,58,48,67,19,14,84,94,22.6,,3,true,true,true,null,HR16683-46-3/HR18129-13-16
Jungmo1024,68,45,69,63,53,69,20,16,82,78.5,22.3,45.4,0,false,false,false,false,Namil-SA mutant
Pyeongwon,66,45,66,63,53,67,21,13,82,87,23.3,,0,false,false,false,null,Jinbu19/Samjiyeon4
Namil,69,49,69,66,54,80,24,12,110,74.3,25.1,,0,false,false,false,null,Ilpumbyeo/Namyang7
Chamdongjin,92,51,83,84,54,72,22,11,105,83.3,27.3,45.7,4,true,true,true,true,Sindongjin*2/HR27195-59-3-5-5
Saeilmi,93,53,82,82,55,77,20,13,128,88.5,22.3,51.6,3,true,true,true,false,Ilmibyeo*5/Hwayeongbyeo
Chindeul,97,54,88,85,57,83,22,13,116,88.8,21.7,10.4,3,true,true,true,false,HR22538-GHB-36-4/Iksan471
Namchan,98,57,94,86,59,79,20,14,112,88.1,21.5,6.3,3,true,true,true,false,Nikomaru/Saenuri
Samgwang,86,48,84,79,52,87,19,15,119,85,22.2,,3,true,true,true,null,Suweon361/Milyang101
Hyeonpum,97,56,93,86,56,74,22,13,101,85.4,23.6,13.6,3,true,true,true,false,Iksan469//Sindongjin/Musashino7
